function,population,fitness,run
schaffer,30,7.77131532567199e-05,0
schaffer,30,0.04038167932903708,1
schaffer,30,0.02149526223077708,2
schaffer,30,0.06559066267088098,3
schaffer,30,0.1533652142627812,4
schaffer,30,0.044395537230860704,5
schaffer,30,0.004937503067467819,6
schaffer,30,0.03570896940699825,7
schaffer,30,0.029801433554699552,8
schaffer,30,4.656754926113393e-09,9
schaffer,50,0.017593725907734226,0
schaffer,50,0.21370077798500048,1
schaffer,50,0.016080595341336157,2
schaffer,50,0.018167450386453066,3
schaffer,50,4.656754926113393e-09,4
schaffer,50,4.656754926113393e-09,5
schaffer,50,0.0341648243794338,6
schaffer,50,0.05927713647888966,7
schaffer,50,0.08030749364057282,8
schaffer,50,0.04681487908270704,9
schaffer,75,0.0003107313069457551,0
schaffer,75,7.99049938076668e-05,1
schaffer,75,0.0034683287133795426,2
schaffer,75,0.1564973935697811,3
schaffer,75,0.003381192074131123,4
schaffer,75,0.00018808447784829374,5
schaffer,75,4.656754926113393e-09,6
schaffer,75,0.0003107313069457551,7
schaffer,75,0.003511982164928207,8
schaffer,75,0.0003107313069457551,9
schaffer,100,4.656754926113393e-09,0
schaffer,100,0.0062643398584827925,1
schaffer,100,0.01759372590773378,2
schaffer,100,0.15317837765807407,3
schaffer,100,0.02870748826207714,4
schaffer,100,0.009462335605729455,5
schaffer,100,1.9674209180253754e-05,6
schaffer,100,0.0019078946317472867,7
schaffer,100,0.01292120527694246,8
schaffer,100,0.0005872314095454745,9
schaffer,150,0.014198412805586702,0
schaffer,150,4.656754926113393e-09,1
schaffer,150,0.0049375030674686515,2
schaffer,150,3.0361668144074372e-05,3
schaffer,150,4.656754926113393e-09,4
schaffer,150,4.656754926113393e-09,5
schaffer,150,0.004355190277756604,6
schaffer,150,0.0003932199808971415,7
schaffer,150,7.77131532567199e-05,8
schaffer,150,0.041659609509381634,9
